package_no,package_id,cruise_id,season,year,toi_input,eims_input,metadata_file,folder,ncp_gop_input,ncp_hifreq_input,gop_product,hifreq_product,discreterates_cols,ncp_matlab,gop_matlab,dataset_title,cruise_caps
13,knb-lter-nes.13.3,en608,winter,2018,bottleEN608.csv,RaEN608withbiosat.csv,ncp-gop-transect-info,ncp-gop-transect-2018-pkg13,discreteratesEn608,ncplterEn608,gop-transect-2018,ncp-transect-2018,6,ncplterEn608.mat,discreteratesEn608.mat,"Net community production (NCP) and gross oxygen production (GOP), based on oxygen-argon ratios and triple oxygen isotopes, from seasonal NES-LTER Transect cruises in 2018",EN608
13,knb-lter-nes.13.3,en617,summer,2018,bottleEn617withoutincubation_corrected.csv,RaEn617withbiosat.csv,ncp-gop-transect-info,ncp-gop-transect-2018-pkg13,discreteratesEn617,ncplterEn617,gop-transect-2018,ncp-transect-2018,6,ncplterEn617.mat,discreteratesEn617.mat,"Net community production (NCP) and gross oxygen production (GOP), based on oxygen-argon ratios and triple oxygen isotopes, from seasonal NES-LTER Transect cruises in 2018",EN617
13,knb-lter-nes.13.3,ar31a,fall,2018,bottleAr31.csv,RaAR31withbiosat.csv,ncp-gop-transect-info,ncp-gop-transect-2018-pkg13,discreteratesAr31,ncplterAr31,gop-transect-2018,ncp-transect-2018,8,ncplterAr31.mat,discreteratesAr31.mat,"Net community production (NCP) and gross oxygen production (GOP), based on oxygen-argon ratios and triple oxygen isotopes, from seasonal NES-LTER Transect cruises in 2018",AR31A
14,knb-lter-nes.14.3,en627,winter,2019,bottleEN627.csv,RaEN627withbiosat.csv,ncp-gop-transect-info,ncp-gop-transect-2019-pkg14,discreteratesEn627,ncplterEn627,gop-transect-2019,ncp-transect-2019,8,ncplterEn627.mat,discreteratesEn627.mat,"Net community production (NCP) and gross oxygen production (GOP), based on oxygen-argon ratios and triple oxygen isotopes, from seasonal NES-LTER Transect cruises in 2019",EN627
14,knb-lter-nes.14.3,ar34b,spring,2019,bottleAr34.csv,RaAr34withbiosat.csv,ncp-gop-transect-info,ncp-gop-transect-2019-pkg14,discreteratesAr34,ncplterAr34,gop-transect-2019,ncp-transect-2019,8,ncplterAr34.mat,discreteratesAr34.mat,"Net community production (NCP) and gross oxygen production (GOP), based on oxygen-argon ratios and triple oxygen isotopes, from seasonal NES-LTER Transect cruises in 2019",AR34B
14,knb-lter-nes.14.3,en644,summer,2019,bottleEN644.csv,RaEN644withbiosat.csv,ncp-gop-transect-info,ncp-gop-transect-2019-pkg14,discreteratesEn644,ncplterEn644,gop-transect-en644,ncp-transect-en644,9,ncplterEn644.mat,discreteratesEn644.mat,"Net community production (NCP) and gross oxygen production (GOP), based on oxygen-argon ratios and triple oxygen isotopes, from seasonal NES-LTER Transect cruises in 2019",EN644
14,knb-lter-nes.14.3,ar39b,fall,2019,bottleAr39b_corrected.csv,RaAr39bwithbiosat.csv,ncp-gop-transect-info,ncp-gop-transect-2019-pkg14,discreteratesAr39b,ncplterAr39b,gop-transect-2019,ncp-transect-2019,11,ncplterAr39b.mat,discreteratesAr39b.mat,"Net community production (NCP) and gross oxygen production (GOP), based on oxygen-argon ratios and triple oxygen isotopes, from seasonal NES-LTER Transect cruises in 2019",AR39B
30,knb-lter-nes.30.1,en649,winter,2020,bottleEn649.csv,RaEn649withbiosat.csv,ncp-gop-transect-info,ncp-gop-transect-2020-pkg30,discreteratesEn649,ncplterEn649,gop-transect-2020,ncp-transect-2020,8,ncplterEn649.mat,discreteratesEn649.mat,"Net community production (NCP) and gross oxygen production (GOP), based on oxygen-argon ratios and triple oxygen isotopes, from seasonal NES-LTER Transect cruises in 2020",EN649
30,knb-lter-nes.30.1,en655,summer,2020,bottleEn655.csv,RaEn655withbiosat.csv,ncp-gop-transect-info,ncp-gop-transect-2020-pkg30,discreteratesEn655,ncplterEn655,gop-transect-2020,ncp-transect-2020,11,ncplterEn655.mat,discreteratesEn655.mat,"Net community production (NCP) and gross oxygen production (GOP), based on oxygen-argon ratios and triple oxygen isotopes, from seasonal NES-LTER Transect cruises in 2020",EN655
30,knb-lter-nes.30.1,en657,fall,2020,bottleEn657.csv,RaEn657withbiosat.csv,ncp-gop-transect-info,ncp-gop-transect-2020-pkg30,discreteratesEn657,ncplterEn657,gop-transect-2020,ncp-transect-2020,11,ncplterEn657.mat,discreteratesEn657.mat,"Net community production (NCP) and gross oxygen production (GOP), based on oxygen-argon ratios and triple oxygen isotopes, from seasonal NES-LTER Transect cruises in 2020",EN657
31,knb-lter-nes.31.1,en661,winter,2021,bottleEn661.csv,RaEn661withbiosat.csv,ncp-gop-transect-info,ncp-gop-transect-2021-pkg31,discreteratesEn661_expanded,ncplterEn661,gop-transect-2021,ncp-transect-2021,9,ncplterEn661.mat,discreteratesEn661.mat,"Net community production (NCP) and gross oxygen production (GOP), based on oxygen-argon ratios and triple oxygen isotopes, from seasonal NES-LTER Transect cruises in 2021",EN661
31,knb-lter-nes.31.1,en668,summer,2021,bottleEn668.csv,RaEn668withbiosat.csv,ncp-gop-transect-info,ncp-gop-transect-2021-pkg31,discreteratesEn668,ncplterEn668,gop-transect-2021,ncp-transect-2021,11,ncplterEn668.mat,discreteratesEn668.mat,"Net community production (NCP) and gross oxygen production (GOP), based on oxygen-argon ratios and triple oxygen isotopes, from seasonal NES-LTER Transect cruises in 2021",EN668
32,knb-lter-nes.32.1,at46,winter,2022,bottleAt46.csv,RaAt46withbiosat.csv,ncp-gop-transect-info,ncp-gop-transect-2022-pkg32,discreteratesAt46,ncplterAt46,gop-transect-2022,ncp-transect-2022,11,ncplterAt46.mat,discreteratesAt46.mat,"Net community production (NCP) and gross oxygen production (GOP), based on oxygen-argon ratios and triple oxygen isotopes, from seasonal NES-LTER Transect cruises in 2022",AT46
32,knb-lter-nes.32.1,en687,summer,2022,bottleEn687.csv,RaEn687withbiosat.csv,ncp-gop-transect-info,ncp-gop-transect-2022-pkg32,discreteratesEn687,ncplterEn687,gop-transect-2022,ncp-transect-2022,11,ncplterEn687.mat,discreteratesEn687.mat,"Net community production (NCP) and gross oxygen production (GOP), based on oxygen-argon ratios and triple oxygen isotopes, from seasonal NES-LTER Transect cruises in 2022",EN687
