"datetime_utc","datetime_utc_matlab","latitude","longitude","toi_source","cast","niskin","depth_mat_file","depth_API_bottle_summary","O2_Ar_delta","O2_Ar_ratio","D17","d17","d18"
2018-07-20 17:33:17,737261.724305556,41.2023,-70.8855,"toi_niskin",1,3,12.5,12.108,-89.5935,20.4179,119.089,-0.1059,-0.4343
2018-07-20 17:38:29,737261.724305556,41.2031,-70.8855,"toi_niskin",1,10,2,1.891,-42.5211,21.4736,80.5003,-0.461,-1.0451
2018-07-20 23:04:46,737261.95625,41.0316,-70.8795,"toi_niskin",2,5,24,24.23,-153.3387,18.9882,113.132,0.4373,0.6261
2018-07-20 23:09:38,737261.95625,41.0321,-70.8789,"toi_niskin",2,14,10.5,9.873,78.5844,24.1896,155.125,-0.9018,-2.0386
2018-07-20 23:12:54,737261.95625,41.0324,-70.8785,"toi_niskin",2,18,2,2.95,-32.8565,21.6903,76.6672,-0.1282,-0.3954
2018-07-20 23:12:54,737261.95625,41.0324,-70.8785,"toi_niskin",2,18,2,2.95,-32.8388,21.6907,68.2227,-0.1394,-0.4008
2018-07-20 23:14:00,737261.968055556,41.0325,-70.8784,"toi_underway",NA,NA,5,NA,-46.7841,21.378,74.7766,0.0025,-0.1395
2018-07-20 23:15:00,737261.96875,41.0327,-70.8783,"toi_underway",NA,NA,5,NA,-46.2433,21.3901,71.8319,0.0037,-0.1315
2018-07-21 01:21:47,737262.052083333,41.0292,-70.7687,"toi_niskin",3,1,16,16.349,-57.6255,21.1348,136.097,-0.489,-1.2063
2018-07-21 01:25:33,737262.052083333,41.0287,-70.7682,"toi_niskin",3,3,3,3.313,-42.1594,21.4817,68.1461,-0.0342,-0.1976
2018-07-21 00:31:59,737262.022222222,41.0255,-70.6631,"toi_underway",NA,NA,5,NA,-54.2963,21.2095,54.56,0.106,0.0993
2018-07-21 00:47:59,737262.033333333,41.0297,-70.7203,"toi_underway",NA,NA,5,NA,-50.3117,21.2988,60.0073,0.1125,0.1014
2018-07-21 03:03:57,737262.123611111,41.0295,-70.99,"toi_niskin",4,1,12,12.398,-123.5116,19.6572,112.364,0.1303,0.0347
2018-07-21 03:06:56,737262.123611111,41.0291,-70.9895,"toi_niskin",4,12,3,3.764,-39.7122,21.5366,69.9552,-0.0217,-0.177
2018-07-21 02:03:59,737262.086111111,41.0309,-70.8408,"toi_underway",NA,NA,5,NA,-51.3168,21.2763,69.704,0.0785,0.0171
2018-07-21 02:15:00,737262.09375,41.0281,-70.8813,"toi_underway",NA,NA,5,NA,-49.1009,21.326,85.1515,0.0453,-0.0768
2018-07-21 02:29:59,737262.104166667,41.0271,-70.9367,"toi_underway",NA,NA,5,NA,-47.6711,21.3581,72.7861,0.0369,-0.0692
2018-07-21 03:39:00,737262.152083333,41.0281,-71.0544,"toi_underway",NA,NA,5,NA,-45.2333,21.4127,76.5556,-0.0062,-0.1597
2018-07-21 04:02:59,737262.16875,41.0244,-71.0869,"toi_underway",NA,NA,5,NA,-46.1135,21.393,78.7905,-0.0297,-0.2094
2018-07-21 06:50:55,737262.277083333,40.8644,-70.8855,"toi_niskin",5,3,30,29.851,-188.8864,18.191,101.906,1.032,1.7975
2018-07-21 06:57:02,737262.277083333,40.8647,-70.8869,"toi_niskin",5,8,14,14.399,45.7296,23.4528,147.538,-0.6273,-1.4949
2018-07-21 07:03:02,737262.277083333,40.865,-70.8883,"toi_niskin",5,14,2,1.624,-46.7855,21.3779,46.4779,0.0753,0.0556
2018-07-21 11:11:37,737262.461111111,40.7019,-70.7724,"toi_niskin",6,1,20,20.048,-6.2247,22.2876,159.685,-0.4189,-1.1165
2018-07-21 11:15:18,737262.461111111,40.7023,-70.7723,"toi_niskin",6,4,2,2.112,-50.6647,21.2909,68.1262,0.1779,0.212
2018-07-21 10:23:00,737262.432638889,40.6926,-70.67,"toi_underway",NA,NA,5,NA,-54.458,21.2059,59.1703,0.2018,0.2755
2018-07-21 11:43:00,737262.488194444,40.7017,-70.8282,"toi_underway",NA,NA,5,NA,-56.7555,21.1543,61.6575,0.2311,0.3272
2018-07-21 11:57:59,737262.498611111,40.7002,-70.8836,"toi_underway",NA,NA,5,NA,-59.3736,21.0956,70.2566,0.2426,0.3328
2018-07-21 12:44:37,737262.525694444,40.6991,-70.9924,"toi_niskin",7,1,20,20.386,-12.2477,22.1525,134.19,-0.456,-1.1389
2018-07-21 12:48:44,737262.525694444,40.7,-70.9918,"toi_niskin",7,3,2,1.974,-46.002,21.3955,71.2017,0.1182,0.0907
2018-07-21 12:14:00,737262.509722222,40.6987,-70.9438,"toi_underway",NA,NA,5,NA,-53.4412,21.2287,66.6563,0.1729,0.2052
2018-07-21 13:32:00,737262.563888889,40.6966,-71.1029,"toi_underway",NA,NA,5,NA,-49.1597,21.3247,63.5405,0.1336,0.1354
2018-07-21 15:13:00,737262.634027778,40.7019,-70.8767,"toi_underway",NA,NA,5,NA,-47.364,21.365,67.3653,0.1234,0.1083
2018-07-21 15:14:59,737262.635416667,40.7021,-70.8763,"toi_underway",NA,NA,5,NA,-47.2176,21.3682,79.2729,0.1432,0.1235
2018-07-21 14:57:09,737262.61875,40.6995,-70.8799,"toi_niskin",8,1,60,59.428,-251.2629,16.7921,86.5172,1.7894,3.2936
2018-07-21 15:01:47,737262.61875,40.7003,-70.8792,"toi_niskin",8,3,45,44.419,-107.2689,20.0215,59.9256,0.6457,1.1317
2018-07-21 15:04:36,737262.61875,40.7007,-70.8785,"toi_niskin",8,6,34,24.629,-140.7406,19.2708,113.554,0.5588,0.8601
2018-07-21 15:10:25,737262.61875,40.7014,-70.8774,"toi_niskin",8,12,12,12.414,34.2734,23.1959,139.221,-0.4183,-1.0759
2018-07-21 15:12:54,737262.61875,40.7019,-70.8767,"toi_niskin",8,15,2,2.292,-43.9066,21.4425,73.0312,0.1055,0.0628
2018-07-21 15:12:54,737262.61875,40.7019,-70.8767,"toi_niskin",8,15,2,2.292,-44.0887,21.4384,70.5649,0.1008,0.0584
2018-07-21 17:33:35,737262.724305556,40.5198,-70.8812,"toi_niskin",9,6,35,35.266,-90.5348,20.3968,101.889,0.3056,0.5844
2018-07-21 17:35:52,737262.724305556,40.5204,-70.8812,"toi_niskin",9,8,20,19.902,29.2863,23.084,137.814,-0.45,-1.1344
2018-07-21 17:39:47,737262.724305556,40.5215,-70.8813,"toi_niskin",9,12,2,4.202,-5.5635,22.3024,74.256,-0.21,-0.5486
2018-07-21 21:46:29,737262.902083333,40.3657,-70.7702,"toi_niskin",10,1,46,46.627,-224.064,17.4021,73.3686,1.5624,2.8793
2018-07-21 21:48:43,737262.902083333,40.3662,-70.7695,"toi_niskin",10,3,17,17,22.7954,22.9384,111.508,-0.4288,-1.0426
2018-07-21 21:50:12,737262.902083333,40.3665,-70.769,"toi_niskin",10,5,3,7.901,-54.8112,21.1979,45.3048,0.1491,0.2005
2018-07-21 23:24:05,737262.970138889,40.3663,-70.9887,"toi_niskin",11,1,32,31.73,-210.3852,17.7088,79.5536,1.4341,2.619
2018-07-21 23:26:05,737262.970138889,40.3667,-70.9886,"toi_niskin",11,3,17,17.44,26.2674,23.0163,131.969,-0.4801,-1.1811
2018-07-21 23:27:53,737262.970138889,40.3669,-70.9889,"toi_niskin",11,5,3,5.368,-33.5264,21.6753,62.4975,0.0109,-0.0997
2018-07-22 02:20:14,737263.088888889,40.3684,-70.8894,"toi_niskin",12,8,50,40.272,-216.057,17.5816,94.732,1.5054,2.7275
2018-07-22 02:25:56,737263.088888889,40.3694,-70.8892,"toi_niskin",12,17,28,14.538,48.4409,23.5136,135.222,-0.5049,-1.2351
2018-07-22 02:28:00,737263.088888889,40.3697,-70.8893,"toi_niskin",12,21,3,4.776,-45.9534,21.3966,59.165,0.1155,0.1087
2018-07-21 20:03:00,737262.835416667,40.3688,-70.7773,"toi_underway",NA,NA,5,NA,-45.33,21.4106,53.1231,0.0816,0.055
2018-07-21 22:26:00,737262.934722222,40.3651,-70.8438,"toi_underway",NA,NA,5,NA,-56.4759,21.1606,59.5631,0.1884,0.2488
2018-07-21 22:35:59,737262.941666667,40.364,-70.8805,"toi_underway",NA,NA,5,NA,-53.5051,21.2272,65.3354,0.1643,0.191
2018-07-21 22:50:59,737262.952083333,40.3631,-70.9359,"toi_underway",NA,NA,5,NA,-49.0223,21.3278,49.8683,0.1303,0.1552
2018-07-22 00:44:00,737263.030555556,40.3583,-71.0987,"toi_underway",NA,NA,5,NA,-43.4822,21.452,57.3307,0.0969,0.0765
2018-07-22 05:16:58,737263.208333333,40.239,-70.8905,"toi_niskin",13,9,38,38.289,-185.5406,18.266,67.4684,1.1699,2.131
2018-07-22 05:20:34,737263.208333333,40.2401,-70.8895,"toi_niskin",13,14,21,21.61,23.3549,22.951,122.101,-0.4011,-1.0096
2018-07-22 05:15:19,737263.208333333,40.2384,-70.891,"toi_niskin",13,7,3,55.346,-41.2811,21.5014,62.604,0.0683,0.0111
2018-07-22 09:27:00,737263.39375,40.1453,-70.7594,"toi_underway",NA,NA,5,NA,-53.2832,21.2322,44.5514,0.1255,0.1563
2018-07-22 09:28:00,737263.394444444,40.1453,-70.7596,"toi_underway",NA,NA,5,NA,-53.6982,21.2229,47.6167,0.1265,0.1524
2018-07-22 09:06:18,737263.373611111,40.1408,-70.7589,"toi_niskin",14,2,0,128.995,-283.1819,16.0762,37.3348,1.8887,3.5811
2018-07-22 09:12:19,737263.373611111,40.142,-70.7586,"toi_niskin",14,6,80,80.403,-233.4196,17.1922,63.6391,1.6381,3.0448
2018-07-22 09:15:10,737263.373611111,40.1425,-70.7584,"toi_niskin",14,8,61,61.09,-209.0727,17.7383,74.4046,1.4516,2.6627
2018-07-22 09:18:09,737263.373611111,40.1433,-70.7591,"toi_niskin",14,11,39,39.035,-126.0126,19.6011,105.726,0.7429,1.2311
2018-07-22 09:23:17,737263.373611111,40.1447,-70.7598,"toi_niskin",14,16,18.5,17.729,2.6523,22.4867,100.051,-0.2614,-0.6976
2018-07-22 09:26:23,737263.373611111,40.1454,-70.7595,"toi_niskin",14,18,7,6.875,-50.4138,21.2966,47.9916,0.0933,0.0876
2018-07-22 09:26:23,737263.373611111,40.1454,-70.7595,"toi_niskin",14,18,7,6.875,-50.4828,21.295,47.9735,0.0973,0.0953
2018-07-22 13:47:44,737263.568055556,40.0915,-70.7793,"toi_niskin",15,1,36,37.248,-12.9887,22.1359,136.893,-0.1684,-0.5893
2018-07-22 13:51:29,737263.568055556,40.0904,-70.7787,"toi_niskin",15,3,3,2.884,-44.7828,21.4228,46.5273,0.0732,0.0516
2018-07-22 15:57:57,737263.656944444,40.0941,-70.9914,"toi_niskin",16,1,33,32.956,-146.9226,19.1321,98.4417,0.9028,1.5545
2018-07-22 12:48:59,737263.534027778,40.0962,-70.6642,"toi_underway",NA,NA,5,NA,-63.4663,21.0038,47.1765,0.217,0.3279
2018-07-22 14:31:59,737263.605555556,40.0988,-70.8033,"toi_underway",NA,NA,5,NA,-43.6504,21.4482,54.7711,0.091,0.07
2018-07-22 14:57:59,737263.623611111,40.0986,-70.8883,"toi_underway",NA,NA,5,NA,-41.4078,21.4985,58.9241,0.0874,0.0549
2018-07-22 15:13:00,737263.634027778,40.0975,-70.9373,"toi_underway",NA,NA,5,NA,-42.7288,21.4689,55.3747,0.0996,0.0854
2018-07-22 17:00:00,737263.708333333,40.1054,-71.0956,"toi_underway",NA,NA,5,NA,-49.8548,21.3091,40.2501,0.1288,0.171
2018-07-22 18:33:40,737263.761805556,40.0969,-70.8718,"toi_niskin",17,8,42,42.104,-164.4384,18.7393,92.7083,1.0959,1.9389
2018-07-22 18:36:21,737263.761805556,40.0966,-70.8713,"toi_niskin",17,14,21,21.325,44.3114,23.421,133.416,-0.4937,-1.2102
2018-07-22 18:38:24,737263.761805556,40.0963,-70.8709,"toi_niskin",17,18,3,6.385,-31.3512,21.7241,59.8734,-0.0077,-0.1304
2018-07-22 22:01:22,737263.906944444,39.9493,-70.8816,"toi_niskin",18,7,55,54.988,-209.728,17.7236,75.9544,1.5269,2.8055
2018-07-22 22:08:32,737263.906944444,39.949,-70.88,"toi_niskin",18,15,3,4.741,-66.5825,20.9339,39.4898,0.1988,0.3076
2018-07-23 08:32:15,737264.338888889,39.7729,-70.7587,"toi_niskin",19,1,39,40.507,-12.7574,22.1411,156.347,-0.2594,-0.8023
2018-07-23 08:35:27,737264.338888889,39.7728,-70.7573,"toi_niskin",19,3,5,4.666,-66.3461,20.9392,30.5332,0.2225,0.3707
2018-07-23 07:10:00,737264.298611111,39.7734,-70.6714,"toi_underway",NA,NA,5,NA,-67.5934,20.9113,31.4256,0.2361,0.3953
2018-07-23 09:14:59,737264.385416667,39.7728,-70.8233,"toi_underway",NA,NA,5,NA,-67.4696,20.914,28.2759,0.2384,0.4058
2018-07-23 09:39:00,737264.402083333,39.776,-70.8928,"toi_underway",NA,NA,5,NA,-60.5339,21.0696,47.7536,0.2093,0.312
2018-07-23 09:58:00,737264.415277778,39.7762,-70.9486,"toi_underway",NA,NA,5,NA,-56.8238,21.1528,42.056,0.1836,0.2734
2018-07-23 10:44:43,737264.43125,39.7701,-70.9806,"toi_niskin",20,1,44,44.118,7.7451,22.6009,157.033,-0.5443,-1.3532
2018-07-23 10:48:54,737264.43125,39.7698,-70.9793,"toi_niskin",20,3,6,5.403,-55.0946,21.1916,33.1188,0.1509,0.2274
2018-07-23 11:45:00,737264.489583333,39.7727,-71.1004,"toi_underway",NA,NA,5,NA,-60.3025,21.0748,49.1458,0.213,0.3164
2018-07-23 14:03:59,737264.586111111,39.7638,-70.8577,"toi_underway",NA,NA,5,NA,-57.8428,21.1299,41.6527,0.1852,0.2772
2018-07-23 14:06:00,737264.5875,39.7635,-70.8569,"toi_underway",NA,NA,5,NA,-58.2588,21.1206,43.2057,0.1831,0.2702
2018-07-23 13:55:32,737264.540972222,39.765,-70.8604,"toi_niskin",21,9,40,40.476,-208.1384,17.7592,82.9555,1.2651,2.2851
2018-07-23 13:57:45,737264.540972222,39.7647,-70.8597,"toi_niskin",21,10,30,30.159,30.8188,23.1184,168.557,-0.5393,-1.3658
2018-07-23 14:04:05,737264.540972222,39.7638,-70.8577,"toi_niskin",21,19,5,4.622,-55.5567,21.1812,40.9529,0.1474,0.2055
2018-07-23 14:04:05,737264.540972222,39.7638,-70.8577,"toi_niskin",21,19,5,4.622,-55.3613,21.1856,44.4546,0.1522,0.2081
2018-07-23 17:29:59,737264.729166667,39.9412,-70.7678,"toi_underway",NA,NA,5,NA,-69.3187,20.8726,42.1629,0.2498,0.4011
2018-07-23 19:19:59,737264.805555556,40.141,-70.7642,"toi_underway",NA,NA,5,NA,-65.4934,20.9584,33.9623,0.1986,0.3179
2018-07-23 20:59:00,737264.874305556,40.3669,-70.767,"toi_underway",NA,NA,5,NA,-49.8794,21.3085,49.5255,0.1417,0.1779
2018-07-23 22:16:59,737264.928472222,40.5217,-70.8845,"toi_underway",NA,NA,5,NA,-36.5142,21.6083,61.5826,0.0566,-0.0097
2018-07-24 00:17:59,737265.0125,40.8646,-70.8842,"toi_underway",NA,NA,5,NA,-42.4857,21.4744,56.6923,0.0718,0.0292
2018-07-24 01:27:59,737265.061111111,40.697,-70.883,"toi_underway",NA,NA,5,NA,-15.3117,22.0838,71.6052,-0.0329,-0.2018
2018-07-24 03:39:00,737265.152083333,40.3651,-70.8763,"toi_underway",NA,NA,5,NA,-60.1913,21.0773,49.4082,0.211,0.3121
2018-07-24 04:32:59,737265.189583333,40.2267,-70.8796,"toi_underway",NA,NA,5,NA,-63.4976,21.0031,33.1764,0.2074,0.3365
2018-07-24 05:20:59,737265.222916667,40.1016,-70.8736,"toi_underway",NA,NA,5,NA,-57.3776,21.1404,42.8762,0.1976,0.2988
2018-07-24 07:30:00,737265.3125,39.7741,-70.8789,"toi_underway",NA,NA,5,NA,-71.747,20.8181,38.0005,0.2846,0.4764
2018-07-24 11:39:00,737265.485416667,39.9487,-70.8789,"toi_underway",NA,NA,5,NA,-50.4393,21.296,62.3476,0.1578,0.1844
2018-07-24 13:04:59,737265.545138889,40.105,-70.8891,"toi_underway",NA,NA,5,NA,-50.4425,21.2959,48.5256,0.1348,0.1665
2018-07-24 14:03:59,737265.586111111,40.228,-70.8892,"toi_underway",NA,NA,5,NA,-66.1398,20.9439,45.9578,0.2703,0.4333
2018-07-24 15:33:00,737265.647916667,40.3676,-70.8875,"toi_niskin",29,9,0,NA,-63.1473,21.011,50.1684,0.2445,0.3754
2018-07-24 16:49:59,737265.701388889,40.5148,-70.8794,"toi_underway",NA,NA,5,NA,-54.3211,21.2089,55.9325,0.2123,0.3021
2018-07-24 18:25:59,737265.768055556,40.6976,-70.8805,"toi_underway",NA,NA,5,NA,-37.489,21.5864,66.5418,0.1225,0.1082
2018-07-24 19:52:00,737265.827777778,40.8627,-70.8775,"toi_underway",NA,NA,5,NA,-52.1439,21.2578,48.4979,0.1756,0.2455
2018-07-24 21:08:00,737265.880555556,41.0273,-70.8858,"toi_underway",NA,NA,5,NA,-51.9709,21.2616,55.2894,0.1262,0.1369
2018-07-24 23:06:00,737265.9625,41.1967,-70.8824,"toi_underway",NA,NA,5,NA,-47.5123,21.3616,87.1371,-0.43,-0.9981
2018-07-25 01:23:00,737266.057638889,41.3247,-70.5852,"toi_underway",NA,NA,5,NA,-65.803,20.9514,74.5675,-0.2476,-0.6218
2018-07-25 01:19:12,737266.052777778,41.3242,-70.5855,"toi_niskin",35,1,14,13.875,-67.3319,20.9171,76.7949,-0.2408,-0.613
2018-07-25 01:22:41,737266.052777778,41.3247,-70.5852,"toi_niskin",35,7,5,4.181,-63.5206,21.0026,71.686,-0.2724,-0.6642
2018-07-25 01:22:41,737266.052777778,41.3247,-70.5852,"toi_niskin",35,7,5,4.181,-62.6694,21.0217,72.5723,-0.2804,-0.6812
